Id, Latitude, Longitude, X, Y
96693997,44.437729,48.4373772,4946785.36428949,6147942.00763009
96693998,44.4582593,48.4321917,4949070.78683132,6147074.54120628
96695689,44.4948034,48.4245906,4953138.85743482,6145803.13737461
96695690,44.4978118,48.4247914,4953473.75099092,6145836.7218811
96695691,44.4988644,48.4252896,4953590.92588693,6145920.04816032
96695693,44.5028495,48.4283647,4954034.54518969,6146434.3912005
96695694,44.5050073,48.4306586,4954274.75038692,6146818.09065585
96695696,44.5196689,48.4553977,4955906.87223314,6150957.2947029
286997395,44.2933343,48.6840602,4930711.41981224,6189312.21318172
347422959,44.4390698,48.6546501,4946934.62146274,6184369.29092372
347711631,44.4383241,48.6591528,4946851.61051846,6185125.86652944
416334375,44.5190748,48.7056047,4955840.73732366,6192935.01566333
419037860,44.5772931,48.4368877,4962321.56883451,6147860.11686647
419037880,44.5848893,48.4397541,4963167.17395047,6148339.661726
419037898,44.602274,48.4462724,4965102.42990207,6149430.26587426
419037947,44.6636984,48.4612174,4971940.16283235,6151931.30820672
419037952,44.6547377,48.4558727,4970942.6622712,6151036.78882058
419037957,44.6549665,48.4555863,4970968.13217069,6150988.85796197
419037958,44.6554329,48.4558556,4971020.0515812,6151033.92701936
419037959,44.6545918,48.4558328,4970926.42075749,6151030.11128591
419037960,44.67045,48.46554,4972691.74750639,6152654.83242503
419037964,44.66987,48.46524,4972627.18220173,6152604.61590769
419037971,44.6443814,48.4630347,4969789.80422869,6152235.48345311
419037972,44.6442171,48.4629347,4969771.51443636,6152218.74541193
419037974,44.6466934,48.4613659,4970047.17489141,6151956.16336392
419037975,44.6374943,48.467512,4969023.13576365,6152984.92976469
419037976,44.6375411,48.4675873,4969028.34551582,6152997.53465009
419037983,44.67354,48.46591,4973035.72473294,6152716.76654097
419037985,44.67176,48.46586,4972837.57603933,6152708.3970393
419037986,44.67243,48.46591,4972912.16009816,6152716.76654097
419037987,44.6711,48.46574,4972764.1051754,6152688.31026913
419037994,44.6222401,48.4779479,4967325.04598719,6154732.03246029
419038002,44.6222718,48.4780093,4967328.57481505,6154742.31267269
419038033,44.5674046,48.4852453,4961220.7860498,6155953.92504245
419038034,44.6059457,48.4852507,4965511.16167641,6155954.82929571
419038039,44.55061,48.48691,4959351.21972972,6156232.69081594
419038041,44.5508127,48.4872055,4959373.7841905,6156282.17534013
419038042,44.60347,48.4871201,4965235.56801305,6156267.87419911
419038044,44.6029751,48.4874912,4965180.47599706,6156330.01902898
419038051,44.5914395,48.4818344,4963896.33887907,6155382.7744929
419038052,44.60142,48.48226,4965007.36305693,6155454.03852239
419038055,44.6148904,48.4830132,4966506.88112571,6155580.15857506
419038058,44.5941524,48.4836948,4964198.33752564,6155694.29114402
419038062,44.5517035,48.4902812,4959472.9475929,6156797.25026375
419038063,44.6042168,48.4902047,4965318.70140878,6156784.43873995
419038065,44.5991794,48.4900525,4964757.94060586,6156758.94972686
419038066,44.6038,48.48992,4965272.30344502,6156736.75994568
419038067,44.55162,48.48977,4959463.65241542,6156711.63950907
419038068,44.5851517,48.4897756,4963196.38418486,6156712.57733736
419038070,44.5834629,48.4909161,4963008.3878288,6156903.57828807
419038076,44.6042794,48.4902781,4965325.6700089,6156796.73110359
419038078,44.5832711,48.4885605,4962987.03675047,6156509.08778635
419038079,44.6065501,48.4886305,4965578.44317665,6156520.81036622
419038080,44.5511978,48.4878808,4959416.65332641,6156395.26238218
419038081,44.6015148,48.4884919,4965017.91614465,6156497.59967387
419038086,44.60314,48.48949,4965198.83258109,6156664.74822737
419038092,44.6065694,48.488717,4965580.59164282,6156535.29614811
419038093,44.5988018,48.4938998,4964715.90636613,6157403.28267219
419038099,44.57743,48.4935116,4962336.8084728,6157338.26600287
419038104,44.5745217,48.4948279,4962013.05799772,6157558.72512122
419038115,44.5838933,48.4909692,4963056.29973764,6156912.47111627
419038116,44.5744074,48.4909686,4962000.33417993,6156912.37063228
419038119,44.5967589,48.4929653,4964488.49177839,6157246.77121359
419038122,44.5957991,48.4923132,4964381.64733113,6157137.55824848
419038124,44.5972782,48.4929814,4964546.29998996,6157249.46764112
419038132,44.5936301,48.4972969,4964140.1953556,6157972.25851266
419038150,44.5734748,48.4952942,4961896.51762281,6157636.82426636
419038164,44.5783294,48.4985484,4962436.92922282,6158181.88027943
419038165,44.5528512,48.4978681,4959600.70897249,6158067.93182072
419038184,44.5529815,48.4972577,4959615.21390214,6157965.69273716
419038186,44.5937851,48.497423,4964157.44987667,6157993.37957511
419038216,44.5652438,48.4998335,4960980.24689409,6158397.13534301
419038221,44.5645688,48.4997842,4960905.10623781,6158388.87746055
419038229,44.5660007,48.4997105,4961064.50461667,6158376.5325276
419038231,44.5646663,48.49957,4960915.95988816,6158352.99847883
419038236,44.6421762,48.5006367,4969544.3224876,6158531.67463908
419038244,44.5648488,48.49929,4960936.27569523,6158306.0980791
419038273,44.5650639,48.4990712,4960960.2205177,6158269.44894811
419038274,44.5651524,48.4989925,4960970.07229263,6158256.2666899
419038276,44.5653811,48.4988819,4960995.53106018,6158237.74121316
419038280,44.6010158,48.50268,4964962.36771875,6158873.94544098
419038282,44.5286472,48.5031425,4956906.33201733,6158951.42020333
419038285,44.5819326,48.5021558,4962838.03561204,6158786.13598628
419038302,44.5669915,48.5003738,4961174.79996815,6158487.63757415
419038305,44.5511434,48.5003817,4959410.59754611,6158488.96086032
419038307,44.57994,48.50026,4962616.22039469,6158468.57557621
419038311,44.5442826,48.5048515,4958646.85678368,6159237.70608863
419038315,44.564741,48.5047198,4960924.27545412,6159215.64380587
419038316,44.5479511,48.5047756,4959055.23233565,6159224.99137193
419038319,44.5229734,48.5050636,4956274.72749046,6159273.23703881
419038320,44.5374302,48.5045303,4957884.05110496,6159183.89901272
419038321,44.54679,48.505,4958925.97927489,6159262.58276365
419038322,44.5770738,48.5054829,4962297.15647018,6159343.47853225
419038323,44.6168534,48.5048924,4966725.40128614,6159244.55763692
419038325,44.5578513,48.5024463,4960157.3175584,6158834.7979234
419038326,44.5339276,48.5048945,4957494.14345651,6159244.90942806
419038328,44.5800811,48.5050101,4962631.92757484,6159264.27471525
419038329,44.6164918,48.5051424,4966685.14815827,6159286.43763738
419038331,44.5430265,48.5050941,4958507.02837129,6159278.3464051
419038333,44.54791,48.50506,4959050.65710458,6159272.63396627
419038337,44.5330267,48.5051963,4957393.85572726,6159295.46699271
419038338,44.52939,48.5053,4956989.02013509,6159312.83889646
419038339,44.5728381,48.5049504,4961825.64050302,6159254.27377852
419038340,44.5567784,48.5050861,4960037.88287673,6159277.00624315
419038341,44.5421727,48.5052767,4958411.98379005,6159308.93565943
