Node, Adjacent nodes
419038482:,[871677591 419038340 1192640416]
419038483:,[1236570260 419038563 419038442]
419038484:,[419038565 419038416 419038511 854653015]
419038488:,[419038507 419038391]
419038491:,[419038426 419038583 419038451 419038319]
419038492:,[419038386 1186111721 419038398 419038551]
419038493:,[419038341 1188628946 419038441]
419038495:,[419038596 419038337 419038338 419038626]
419038498:,[419038500 3244896944]
419038500:,[419038459 419038498 1226380023]
419038501:,[419038339 419038548 1339205953]
419038503:,[1236570232 1186111827]
419038505:,[419038471 419038403]
419038507:,[419038444 419038488]
419038509:,[419038657 419038370 419038540 419038419]
419038510:,[419038457 419038389]
419038511:,[419038395 419038484]
419038513:,[871677591 1236199413 1192640416]
419038517:,[419038541 419038474]
419038518:,[419038654 1179983423]
419038519:,[1179983336 419038585]
419038520:,[1135561931 419038602 419038529]
419038521:,[419038781 419039001 1410671619]
419038523:,[419038533 419038580 419038524]
419038524:,[419038523 419038602 419038581]
419038529:,[419038520 419038566]
419038530:,[3244896944 419038667 1135561936]
419038533:,[419038523 419038648]
419038536:,[419038418 419038669 419038573]
419038537:,[4041925943 419038451 419038538 419038583]
419038538:,[419038716 419038537]
419038540:,[419038739 419038338 419038758 419038509]
419038541:,[419038667 419038517]
419038548:,[1339205951 419038501]
419038551:,[419038567 419038605 419038492]
419038563:,[1236570249 1186111827 419038483]
419038565:,[419038630 419038484]
419038566:,[419038529 419038471]
419038567:,[1339205951 419038551 419038423]
419038569:,[419038455 419038626 419038448]
419038572:,[419038746 419038480 419038670]
419038573:,[1188628946 419038613 419038536 419038444]
419038575:,[1204299948 419038323]
419038579:,[1236570232 1186111721 1245459810 419038398]
419038580:,[3244896944 419038523]
419038583:,[419038491 419038634 419038537 419038419]
419038585:,[419038519 1633473911 1179983428]
419038592:,[3245631769 419038646 419038634]
419038596:,[419038495 419038758 419039040]
419038598:,[419038692 419038667 419038618]
419038602:,[419038858 419038771 419038769 419038520 419038524]
419038605:,[419038497 419038885 419038773 419038551]
419038607:,[872139304 419038718 419038630]
419038608:,[1186111721 419038756 419038885 419038633]
419038610:,[1186067226 419038654 1186067275]
419038611:,[419038765 419038766]
419038613:,[419038573 1244235568]
419038614:,[1236199415 1188605631]
419038618:,[419038598 419038655]
419038624:,[419038458 1328720403 419038746 419038669]
419038626:,[419038821 419038569 419038495]
419038629:,[419038688]
419038630:,[419038565 537967797 419038607]
419038633:,[419038608 1186111827 1245459810]
419038634:,[419038583 419038592 419038657]
419038637:,[419038640 1124884214 419038853]
419038640:,[537967797 419038637 872139972]
419038641:,[419038670 419038651]
419038646:,[4041926264 419038592 4041925943]
419038648:,[419038533 419038721]
419038651:,[419038641 1243613478]
419038654:,[419038610 419038518]
419038655:,[419038618 419038451]
419038657:,[419038739 419038634 419038509]
419038660:,[419038619 1179983397]
419038664:,[1179983397 1179983336]
419038667:,[419038598 419038530 419038541]
419038669:,[419038624 419038536 419038747 419038437]
419038670:,[419038572 419038641]
419038679:,[419038692 419038716]
419038680:,[419038721 419038769 419038856]
419038681:,[419038711 419038786 1135561950]
419038684:,[419038744 1147387281 1243613481]
419038688:,[419038840 419038629]
419038690:,[419038822 419038712]
419038691:,[419038790 419038693 419038721]
419038692:,[419038832 419038598 419038679 419038839 419038693]
419038693:,[419038692 419038691]
419038698:,[1328720403 1244235593 1244235573]
419038704:,[1180006233 1633474023]
419038709:,[419038719 419038765]
419038711:,[1206996504 419038681]
419038712:,[419038690 1180099698]
419038716:,[419038839 419038679 419038538]
419038718:,[872139653 419038607 872139842]
419038719:,[419038979 419038709]
419038721:,[419038648 419038691 419038680]
419038722:,[1186067227 1186067276]
419038731:,[1180099698 1633473975]
419038735:,[419038766 1124884095]
419038736:,[419038758 419038800 1328638998]
419038739:,[419038657 419038800 419038540 3245631769]
419038744:,[419038684 1243613478 419039005]
419038746:,[419038572 419038812 419038624]
419038747:,[419038669 1244235583 1244235593]
419038756:,[419038608 1594655826 419038861 1594655856]
419038758:,[419038596 419038736 419038540]
419038761:,[419038781 419038329]
419038765:,[419038709 419038611]
419038766:,[419038611 419038735 1186374239]
419038769:,[419038680 419038602]
419038771:,[419038602 1206996504]
419038773:,[419038362 419039310 419039018 419038605]
419038781:,[3082738023 419038521 419038761]
419038784:,[419039067 419039130 419038831 419038856]
419038785:,[419039027 1186067227]
419038786:,[419038681 1199798398 419038991]
419038787:,[419038794 419038896]
419038790:,[419039137 419038691 419038880]
419038792:,[872139638 1123393465 419039128]
419038793:,[419038900 1147386885]
419038794:,[419038804 419038787]
419038797:,[419039035 419038822]
419038800:,[419038739 419038736 419038866]
419038804:,[2556834941 419038814 419038794]
419038812:,[419038746 1244235574]
419038814:,[419038842 419038804]
419038817:,[419039141 419039026 419038840]
419038819:,[1147387349 1147387281 1147387429]
419038821:,[1119977677 419038626]
419038822:,[419038797 419038690]
419038827:,[872139691 872139653 872139510]
419038831:,[419038784 1206996452 419038858]
419038832:,[419038984 419038692]
419038839:,[3245631765 419038716 3245631440 419038692]
419038840:,[419038688 419038817 419038852]
419038842:,[2556835551 419038814]
419038846:,[1206996457 419038848]
419038848:,[419038846 419039142]
419038849:,[847563574 419039088]
419038852:,[1186067238 559726117 419038840]
419038853:,[419038637 1123393465]
419038856:,[419039034 419038680 419038784]
419038858:,[419038831 419038602]
419038861:,[419038885 1152626608 419038756 419039316]
419038866:,[419039154 3245631446 419038800 419039125]
419038867:,[419039244 1594655856 1168359578]
419038870:,[872139485 1633474048]
419038873:,[419039162 419039011]
419038877:,[1339187697 419039101 419039026]
419038880:,[419039122 419039034 419038790 419039080]
419038882:,[419039454 419038986]
419038885:,[419038605 419038861 419039310 419038608]
419038888:,[419038902 419038900]
419038890:,[419038986 419039089]
419038891:,[1124884327 1124884659]
419038894:,[419038996 419039161 1119977677]
419038896:,[419038787 1633474071 1124884125]
419038900:,[419038888 419038793]
419038902:,[1243613453 419038888]
419038979:,[1186374410 419038719]
419038984:,[419039167 419038832 419039137 3245631440]
419038986:,[419038882 419038890]
419038990:,[1140837026 419039322 1353693346]
419038991:,[419038786 419039142]
419038996:,[419038894 1328638998 419039040]
419039001:,[1171643105 419038521]
419039005:,[1147387198 419038744 1540706719]
419039011:,[419038873 419039035]
419039016:,[1147387224 1147387137]
419039018:,[3349687221 1236570229 419039249 419038773]
419039026:,[419038877 419038817]
419039027:,[419039140 419038785]
419039028:,[3349687224 1186067292]
419039034:,[419038880 419038856 419039130]
419039035:,[419039011 419038797]
419039040:,[419038996 419038596]
419039042:,[419039280 1453490381]
419039043:,[872139241 419039104 528243311]
419039053:,[419039107 854653007]
419039058:,[419039060]
419039059:,[1213926792 419039177]
419039060:,[419039058 1633474071 1124884138 1633474081]
419039065:,[419039171 3245631429 419039167]
419039067:,[419038784 419039320 419039142 419039315]
419039073:,[1540706719 419039103]
419039075:,[419039142 1199798398]
419039077:,[419039117 419039190 1124884441]
419039078:,[419039199 419039230 872139069]
419039080:,[419038880 419039317 419039305 419039130]
419039084:,[419039206 3082736753]
419039088:,[419039329 419038849 1141979673]
419039089:,[419038890 419039242]
419039093:,[419039098 419039154]
419039098:,[419039125 419039093]
419039101:,[419039290 419038877]
419039103:,[419039073 419039107]
419039104:,[872139691 1113668889 419039043]
419039107:,[419039300 419039103 419039053]
419039110:,[1147292795 1147294149]
419039111:,[1135561942 419039171 3245631429]
419039113:,[419039206 1213926792]
419039114:,[419039275 419039174]
419039117:,[1124884745 419039077]
419039122:,[419039211 419038880 1439253310 419039137]
419039125:,[419039098 419038866 3245631412]
419039130:,[419039315 419039034 419039080 419038784]
