Number, node id, distance, path
0, 1204357398, 0, []
1, 4198407189, 9.30810897708786, [1204357398->4896354531->1210265345->4896354530->4896354529->1204357399->4905118457->4905118456->4905118455->1204357379->4866592066->1204357397->4866592067->4866592068->4866592069->4866592070->1204357403->4866592071->1204357376->4866592065->1210265366->1210265400->1210265424->1210265210->1210265342->4888102246->4888102247->1209028329->4888102248->4888102249->1209028346->4866592112->4866592113->4866592114->4866592115->847563549->1262192311->1262192336->1204336405->1204336443->1262192239->847563528->419038002->419038055->1263181757->1263181731->419038092->1263181748->419038076->1208542705->1204264572->419038186->1410671629->1171651589->1152477829->1171651583->1163743914->419038356->1594655826->419038756->419038861->1152626608->4256622788->419039244->419039360->4198407189]
2, 1194356588, 18.2375693416589, [4198407189->419039360->419039244->4256622788->1152626608->419038861->419038885->419038608->419038633->1186111827->419038563->419038483->419038442->1194319465->1204390742->419038345->2272063516->1168791086->1168791109->419038285->1204390752->1204385820->419038307->1186111763->419038164->2272063209->1236570262->1236570237->1236570244->4358970407->1236570257->1186480754->1186480384->1186480600->1186480436->1186480602->1186480433->1186480457->3457922818->3547618911->419038116->1204219429->1204219150->1204219173->419038033->1205240085->1205240171->1175156733->1175157081->1205240181->1208837275->1175156977->1208820762->1208820789->1175156801->1190952882->1175156516->1175157163->1175156736->1175156641->1175156646->1707763275->1175156522->1175156869->1175156755->1707763285->1175157087->1175156983->3081151738->3081156207->1175156429->1175156434->1175157089->1175156699->3165258883->1215879873->750159489->3081175768->3081175329->3165259107->3081167299->750159590->1572371328->1572371326->3165259076->3081213160->3165259111->3081213316->750159591->3165258960->3081211883->750159592->3081213146->1208806325->750159593->750159594->1572371337->750159595->3165544677->750159596->1223169781->750159598->1199549872->1572371330->750159599->1199550101->1199550245->1199550429->750159601->1199549658->1196495773->1196495790->1223169516->750159604->1196494784->1196494925->5371987995->1194356588]
3, 1310623216, 48.6442043170988, [1194356588->5371987995->1196494925->1196494784->750159604->1223169516->1196495790->1196495773->1199549658->750159601->1199550429->1199550245->1199550101->750159599->1572371330->1199549872->750159598->1223169781->750159596->3165544677->750159595->1572371337->750159594->750159593->1208806325->3081213146->750159592->3081211883->3165258960->750159591->3081213316->3165259111->3081213160->3165259076->1572371326->1572371328->750159590->3081167299->3165259107->3081175329->3081175768->750159489->1215879873->3165258883->1175156699->1175157089->1175156434->1175156429->3081156207->3081151738->1175156983->1175157087->1707763285->1175156755->1175156869->1175156522->1707763275->1175156646->1175156641->1175156736->1175157163->1175156516->1190952882->1175156801->1208820789->1208820762->1175156977->1208837275->1205240181->1175157081->1175156733->1205240171->1205240085->419038033->1204219173->1204219150->1204219429->419038116->3547618911->3457922818->1186480457->1186480433->1186480602->1186480436->1186480600->1186480384->1186480754->1186480666->1186480568->419038104->1186480474->419038150->1188365835->1186480598->1186480693->1177493572->1177493604->1186480465->1186480572->1193160282->3163336681->1188381985->3163336529->3163336684->3163333030->419038276->419038274->419038273->419038244->419038231->419038221->1188214495->3163336519->3163333048->1186039829->1188556013->419038412->1179983480->2767947704->1179983423->419038518->419038654->419038610->1186067226->1186067276->419038722->1186067227->419038785->419039027->419039140->3349687223->419039195->3349687225->1189164420->3349687227->1189164431->3349687228->1189164461->3349687238->3349687241->1189164445->3349687245->1189164426->3349687249->3349687252->1189164463->1186019706->419039786->419040136->419040106->419040047->419040052->419040055->3367699152->972074250->870974572->419039634->419039681->1115846718->419039678->419039650->419039598->419039619->1121247684->419039944->1121247975->419039890->419039874->1121247914->419040138->419040144->419040139->1081839515->419039908->419039919->1540706733->565575663->3240361956->565575660->1864629564->1864629569->419039990->419039970->419039950->419039916->1439249781->419040148->528273326->1864629583->1207025016->1207025132->1207025129->1864629610->1864629612->1864629617->1864629621->1145509379->1207024998->1121248014->419041531->3244945321->1121247940->419041864->1207025036->1077755130->1207025118->515778589->515778599->419041971->419042876->419043037->419042991->419042609->544782065->419043391->1244563847->419043521->1244563745->419043120->419043137->419043181->419043234->419043923->419043831->419043607->419043749->419044467->419044346->1143874266->528364382->419044588->419044491->419044533->1145509359->1628217942->419044188->419044144->1628217948->419044306->1628217952->1628217924->419044236->1247133121->913845295->419045399->1145509269->1247116104->1621869695->1621869671->419045191->1145509408->1621891461->1621891676->1621891485->1216080351->419045064->419044989->419044733->419044708->419044640->419044819->419044812->419046200->419045896->419045607->1621858269->1621858724->419045511->419046930->419046956->419046890->419046798->419046675->419046572->847563535->3832873418->3832873420->419048285->3832873425->419048213->419048208->847640458->847640479->419049596->419049996->847640429->419050117->419050264->1077755092->1621891527->419048801->2425480792->847640396->1121861344->1121861864->4370760629->419051234->419051324->1621258058->419051521->419051721->419051769->3518937450->3518937452->419050770->3518937459->419050837->3518937464->419050940->1145509182->419051040->419052920->1145509179->1145509220->419052864->419052783->3758587326->4949023663->419052812->3758587328->419052808->419052767->419053166->3424725082->1145509079->419053207->3253229578->1610340487->419053109->419053152->1238472945->419053060->1612708493->847640611->419053087->847640533->1238454298->3858229235->3455118681->419053011->3455118683->419052216->419052056->3455114688->3512620212->419051968->1121861330->1121861571->3363186011->3363186016->3363186017->2222983856->3363186028->419052483->3363186033->3363186035->3363186037->1145509222->3837425275->419054331->419054333->1145509317->1145508836->559726159->559726157->419054219->1132082365->1145509399->3174186299->419054774->419054792->1145509527->3323325155->3323325156->419054944->3323334962->419054619->3323334963->1145509114->419054704->419053262->1077755114->1145508846->419053920->1972437849->3323360183->627337851->3323369499->1145509084->3242674837->1371203614->3323382365->3323382366->347711631->3323382368->419056094->419056074->419056079->419055762->2262603948->2262603949->419055728->419055698->1345992468->1782360089->1345992499->1782360087->1341022214->1779460651->1442497749->419055932->1782359376->1345984808->1348100596->1442497752->1345984833->3387482546->1442497775->419055597->419055287->1269961572->419055252->419057140->419057310->1782795338->1782795271->1782795343->3362989332->3362989345->3097102092->2262604120->3362989387->419056974->3844478051->3844479160->3844478052->3362989409->3844233348->3362989430->3362989611->3362989627->3362989631->3362989636->3362989639->3362989644->3362989650->3362989655->3362989660->3362989665->3362989677->3362989689->3850894735->3362989699->3362989705->3844230622->3362989714->3362989728->3755939312->3362989752->3362989763->3362989781->1732822277->1732822289->1778257307->1778257324->419058992->1121861697->1038130894->3844385392->1732822298->1897892714->3844385388->1897892718->1897892720->3850932622->419058665->419058395->1121861350->1121861597->3926190007->419060097->3926190006->1077755209->419059817->1707215142->419059770->3506732988->1038130880->3718759721->419059255->1711642697->419059281->3718760927->3475228559->2933162600->419059172->2211013902->2211013904->3483566535->419061698->3483566537->419062262->1707097453->419062317->419062074->3475276327->419062498->3832095259->2873374094->1341282145->419062883->1341282294->1147410631->1147409937->3261449239->419060246->3261449241->3506716352->5321769213->419060208->1310623216]
4, 4119328902, 4.68584347362314, [1310623216->419060208->5321769213->3506716352->3261449241->419060246->3261449239->1147409937->1147410631->1341282294->419062883->1341282145->2873374094->3832095259->419062498->3475276327->419062074->419062317->1707097453->419062262->3483566537->419061698->3483566535->2211013904->2211013902->419059172->2933162600->3475228559->3718760927->419059281->1711642697->419059255->3718759721->1038130880->3506732988->419059770->1707215142->419059817->1077755209->3926190006->419060097->3926190007->1121861597->1121861350->419058395->419058665->3850932622->1897892720->1897892718->3844385388->1897892714->1732822298->1897892700->3844385399->3850932616->1038130907->1038130877->1706261007->419059090->1038130882->1038130895->1038130891->1038130867->1038130904->419056785->4381271249->419056771->419056773->419056772->419056789->3058027714->3058027713->4119328902]
5, 1247464248, 4.08680862249102, [4119328902->3057505905->419056910->1708866525->419057412->1708866731->419057305->1708866361->419057231->419057191->1708866773->1708866872->419055298->1708866971->419055041->1708866967->419055212->1708866337->419055174->419055551->419055538->419055391->419055458->419055813->419055822->419055828->419055827->419055887->1708866794->419055840->1707470227->1216147611->419055474->419055848->1780473056->1780473140->1708866795->1708866765->1708866652->1708866394->419055483->2014228061->1710261809->2014228062->4505590907->419055504->419055511->1710261828->1710261829->1710261821->419055513->419055411->419055417->419055406->419055388->419055806->419055845->419055873->419055889->419055901->1782359359->419055932->1442497749->1779460651->1341022214->1782360087->1345992499->1782360089->1345992468->419055698->419055719->419055803->419056072->419056117->419056162->1247464248]
6, 1238497652, 17.5569578453379, [1247464248->419056162->419056117->419056072->419055803->419055719->419055698->1345992468->1782360089->1345992499->1782360087->1341022214->1779460651->1442497749->419055932->1782359376->1345984808->1348100596->1442497752->1345984833->3387482546->1442497775->419055597->419055287->1269961572->419055252->419057140->419057310->1782795338->1782795271->1782795343->3362989332->3362989345->3097102092->2262604120->3362989387->419056974->3844478051->3844479160->3844478052->3362989409->3844233348->3362989430->3362989611->3362989627->3362989631->3362989636->3362989639->3362989644->3362989650->3362989655->3362989660->3362989665->3362989677->3362989689->3850894735->3362989699->3362989705->3844230622->3362989714->3362989728->3755939312->3362989752->3362989763->3362989781->1732822277->1732822289->1778257307->1778257324->419058992->1121861697->1038130894->3844385392->1732822298->1897892714->3844385388->1897892718->1897892720->3850932622->419058665->419058395->1121861350->1121861597->3926190007->419060097->3926190006->1077755209->419059817->1707215142->419059770->3506732988->1038130880->3718759721->419059255->1711642697->419059281->3718760927->3475228559->2933162600->419059172->2211013902->2211013904->3483566535->419061698->3483566537->419062262->1707097453->419062317->419062074->3475276327->419062498->3832095259->2873374094->1341282145->419062883->1341282294->1147410631->1147409937->3261449239->419060246->3261449241->3506716352->5321769213->419060208->419060612->3470812709->3470812710->3470812711->419060443->419060995->3174193618->549266961->419060823->3801124425->3801103128->2937604950->3233980044->419061252->419064055->419064156->2085893966->419064379->3590399016->419064913->419065077->419062979->419062891->1574278151->419063226->1546739667->1546739673->1539089817->2351271701->419063662->419063943->3755429106->1519373127->419066833->419066959->1799047541->1706194321->1798276791->2093655942->2093704092->1334259176->419065520->419065456->419065383->3599575610->419065280->419065251->3599575650->4174500565->4174500567->5302553471->419066058->419066103->419066028->3232237635->3232237632->419069053->419069246->419068921->1082199121->1706177208->419069768->1292809934->419069934->419070047->419070078->419069384->419067643->1086155313->4300139946->419072629->1130866082->1130866178->419072666->1291466557->1291466573->419072794->419072760->419072211->419072303->419072481->419072434->419068301->419068278->419068275->419068305->419072271->419072301->419072691->5306372483->419071652->419071438->1291447129->419072067->419071841->419071791->1291456383->419070983->419071201->1238497652]
7, 614836301, 1.29963688983645, [1238497652->419071201->419070983->1291456383->419071791->419071841->419072067->1291447129->419071438->419071675->419071679->614836301]
8, 1278904966, 2.55786041137659, [614836301->419068345->5306369164->419072301->419072271->419068305->419068275->419068278->419068301->419072434->419072481->419072303->419072211->419072760->419072794->1291466573->1291466557->419072666->1130866178->1130866082->419072629->419072541->419071702->419071497->419072571->419071614->1278832808->1082199062->419071676->1082199100->1278904966]
9, 1401388043, 0.925185481967905, [1278904966->1082199100->419071953->1289135460->419071849->419070992->1401388043]
