Number, node id, distance, path
0, 1204357398, 0, []
1, 1194356588, 16.5317042487022, [1204357398->1210233665->4866592072->4866592073->1210233773->4866592074->1210233930->4866592097->1210233518->4866592098->4866592099->4866592100->1210233714->4866592103->4866592104->4866592105->847563572->1262215197->1262215188->1262215214->1262215228->419037971->419037972->1222015615->1210178548->1572371357->2262603759->419037898->1572371355->1572371353->1572371349->419037880->3119810152->3163844967->3081151830->1210130827->1190952832->1190952816->419037860->3081151836->1190952789->890756971->1205240085->1205240171->1175156733->1175157081->1205240181->1208837275->1175156977->1208820762->1208820789->1175156801->1190952882->1175156516->1175157163->1175156736->1175156641->1175156646->1707763275->1175156522->1175156869->1175156755->1707763285->1175157087->1175156983->3081151738->3081156207->1175156429->1175156434->1175157089->1175156699->3165258883->1215879873->750159489->3081175768->3081175329->3165259107->3081167299->750159590->1572371328->1572371326->3165259076->3081213160->3165259111->3081213316->750159591->3165258960->3081211883->750159592->3081213146->1208806325->750159593->750159594->1572371337->750159595->3165544677->750159596->1223169781->750159598->1199549872->1572371330->750159599->1199550101->1199550245->1199550429->750159601->1199549658->1196495773->1196495790->1223169516->750159604->1196494784->1196494925->5371987995->1194356588]
2, 1278904966, 56.4642389856472, [1194356588->5371987995->1196494925->1196494784->750159604->1223169516->1196495790->1196495773->1199549658->750159601->1199550429->1199550245->1199550101->750159599->1572371330->1199549872->750159598->1223169781->750159596->3165544677->750159595->1572371337->750159594->750159593->1208806325->3081213146->750159592->3081211883->3165258960->750159591->3081213316->3165259111->3081213160->3165259076->1572371326->1572371328->750159590->3081167299->3165259107->3081175329->3081175768->750159489->1215879873->3165258883->1175156699->1175157089->1175156434->1175156429->3081156207->3081151738->1175156983->1175157087->1707763285->1175156755->1175156869->1175156522->1707763275->1175156646->1175156641->1175156736->1175157163->1175156516->1190952882->1175156801->1208820789->1208820762->1175156977->1208837275->1205240181->1175157081->1175156733->1205240171->1205240085->419038033->1204219173->1204219150->1204219429->419038116->3547618911->3457922818->1186480457->1186480433->1186480602->1186480436->1186480600->1186480384->1186480754->1186480666->1186480568->419038104->1186480474->419038150->1188365835->1186480598->1186480693->1177493572->1177493604->1186480465->1186480572->1193160282->3163336681->1188381985->3163336529->3163336684->3163333030->419038276->419038274->419038273->419038244->419038231->419038221->1188214495->3163336519->3163333048->1186039829->1188556013->419038412->1179983480->2767947704->1179983423->419038518->419038654->419038610->1186067226->1186067276->419038722->1186067227->419038785->419039027->419039140->3349687223->419039195->3349687225->1189164420->3349687227->1189164431->3349687228->1189164461->3349687238->3349687241->1189164445->3349687245->1189164426->3349687249->3349687252->1189164463->1186019706->419039786->419040136->419040106->419040047->419040052->419040055->3367699152->972074250->870974572->419039634->419039681->1115846718->419039678->419039650->419039598->419039619->1121247684->419039944->1121247975->419039890->419039874->1121247914->419040138->419040144->419040139->1081839515->419039908->419039919->1540706733->565575663->3240361956->565575660->1864629564->1864629569->419039990->419039970->419039950->419039916->1439249781->419040148->528273326->1864629583->1207025016->1207025132->1207025129->1864629610->1864629612->1864629617->1864629621->1145509379->1207024998->1121248014->419041531->3244945321->1121247940->419041864->1207025036->1077755130->1207025118->515778589->515778599->419041971->419042876->419043037->419042991->419042609->544782065->419043391->1244563847->419043521->1244563745->419043120->419043137->419043181->419043234->419043923->419043831->419043607->419043749->419044467->419044346->1143874266->528364382->419044588->419044491->419044533->1145509359->1628217942->419044188->419044144->1628217948->419044306->1628217952->1628217924->419044236->1247133121->913845295->419045399->1145509269->1247116104->1621869695->1621869671->419045191->1145509408->1621891461->1621891676->1621891485->1216080351->419045064->419044989->419044733->419044708->419044640->419044819->419044812->419046200->419045896->419045607->1621858269->1621858724->419045511->419046930->419046956->419046890->419046798->419046675->419046572->847563535->3832873418->3832873420->419048285->3832873425->419048213->419048208->847640458->847640479->419049596->419049996->847640429->419050117->419050264->1077755092->1621891527->419048801->2425480792->847640396->1121861344->1121861864->4370760629->419051234->419051324->1621258058->419051521->419051721->419051769->3518937450->3518937452->419050770->3518937459->419050837->3518937464->419050940->1145509182->419051040->419052920->1145509179->1145509220->419052864->419052783->3758587326->4949023663->419052812->3758587328->419052808->419052767->419053166->3424725082->1145509079->419053207->3253229578->1610340487->419053109->419053152->1238472945->419053060->1612708493->847640611->419053087->847640533->1238454298->3858229235->3455118681->419053011->3455118683->419052216->419052056->3455114688->3512620212->419051968->1121861330->1121861571->3363186011->3363186016->3363186017->2222983856->3363186028->419052483->3363186033->3363186035->3363186037->1145509222->3837425275->419054331->419054333->1145509317->1145508836->559726159->559726157->419054219->1132082365->1145509399->3174186299->419054774->419054792->1145509527->3323325155->3323325156->419054944->3323334962->419054619->3323334963->1145509114->419054704->419053262->1077755114->1145508846->419053920->1972437849->3323360183->627337851->3323369499->1145509084->3242674837->1371203614->3323382365->3323382366->347711631->3323382370->419055717->3323395914->1145509502->419055894->1230563580->3323395916->1230563284->419055398->3323395919->419055581->847640568->847640634->3323407439->3323407440->419057235->1795402216->419056890->419056935->1706267936->419056555->1706109734->419056836->1706109559->419056276->847640484->419056300->419056323->419056412->3323413951->419056429->419058940->419058645->3678734060->419057750->419057451->419060055->419059988->1167875954->419059696->419059705->1158997599->419059749->4069458633->4069458634->4069458635->419059626->419059449->3870474553->3870474555->419059323->419059117->3830313137->419061904->3830303455->3830308906->3830308908->419062248->1891196517->419062149->419062163->1706124681->1706124718->419062496->847640411->419062344->419062442->1219612332->419062832->1706124690->1706088161->3525586226->419060257->3525586229->1121861845->1121861671->3731470019->1338584048->419060575->419060870->419061558->2011115360->1310379257->1691575722->1691575737->419064179->419064293->419064301->419064313->4093706154->3291837573->1586548210->1586548211->419064574->419064638->419064806->419065086->3812643488->4093706157->419062940->3590337485->419063054->419063232->3590327237->3590327238->419063196->419063652->419063751->419063902->3979840174->419066759->419066598->419066438->3648318118->2255899999->1258054879->1258054856->2242011882->3648287634->419067214->3648287635->544802281->3351492830->3351492831->544802278->1658978901->1658978828->3351492839->1658978703->544802288->1658979214->3351492851->3351492852->775567851->1658979271->3351492855->775567648->1658979053->1658978878->1658979075->775567793->1658978790->1658978821->775567729->3648287636->775567731->1658979113->775567655->419065992->1658979448->419066020->1658978760->419065891->3682658934->1658979203->419065945->419065811->419065815->419065736->3687667260->3682623939->3682623946->3682623936->3682623937->3682623938->3682623941->3682623942->3682623943->3682623944->3682623945->419069340->3682623947->419068773->419069995->419070037->1706183669->1706183644->1721718300->419069490->3696480682->419069554->3218990220->419067889->419067839->419068034->419068010->419068035->419068057->419067834->419067832->419067845->419067856->419067863->419067876->419067888->419067885->419067855->419068040->419068048->419067984->419067598->419067549->2068629240->419067665->419068430->4061333846->419068603->2068640284->419072207->419072146->419072680->1278894369->1278894363->1278904966]
3, 1401388043, 0.925185481967905, [1278904966->1082199100->419071953->1289135460->419071849->419070992->1401388043]
4, 614836301, 2.14577617378395, [1401388043->419071944->1281420605->1281420565->419071497->419071702->419072541->419072629->1130866082->1130866178->419072666->1291466557->1291466573->419072794->419072760->419072211->419072303->419072481->419072434->419068301->419068278->419068275->419068305->419072271->419072301->5306369164->419068345->614836301]
5, 1238497652, 1.29963688983645, [614836301->419071679->419071675->419071438->1291447129->419072067->419071841->419071791->1291456383->419070983->419071201->1238497652]
6, 1310623216, 9.80293660715458, [1238497652->419071201->419070983->1291456383->419071791->419071841->419072067->1291447129->419071438->419071652->5306372483->419072691->419072301->419072271->419068305->419068275->419068278->419068301->419072434->419072481->419072303->419072211->419072760->419072794->1291466573->1291466557->419072666->1130866178->1130866082->419072629->4300139946->1086155313->419067643->419069384->419070078->419070047->419069934->1292809934->419069768->1706177208->1082199121->419068921->419069246->419069053->3232237632->3232237635->419066028->419066103->419066058->5302553471->4174500567->4174500565->3599575650->419065251->419065280->3599575610->419065383->419065456->419065520->1334259176->2093704092->2093655942->1798276791->1706194321->1799047541->419066959->419066833->1519373127->3755429106->419063943->419063662->2351271701->1539089817->1546739673->1546739667->419063226->1574278151->419062891->419062979->419065077->419064913->3590399016->419064379->2085893966->419064156->419064055->419061252->3233980044->2937604950->3801103128->3801124425->419060823->549266961->1310623216]
7, 4119328902, 4.68584347362314, [1310623216->419060208->5321769213->3506716352->3261449241->419060246->3261449239->1147409937->1147410631->1341282294->419062883->1341282145->2873374094->3832095259->419062498->3475276327->419062074->419062317->1707097453->419062262->3483566537->419061698->3483566535->2211013904->2211013902->419059172->2933162600->3475228559->3718760927->419059281->1711642697->419059255->3718759721->1038130880->3506732988->419059770->1707215142->419059817->1077755209->3926190006->419060097->3926190007->1121861597->1121861350->419058395->419058665->3850932622->1897892720->1897892718->3844385388->1897892714->1732822298->1897892700->3844385399->3850932616->1038130907->1038130877->1706261007->419059090->1038130882->1038130895->1038130891->1038130867->1038130904->419056785->4381271249->419056771->419056773->419056772->419056789->3058027714->3058027713->4119328902]
8, 1247464248, 4.08680862249102, [4119328902->3057505905->419056910->1708866525->419057412->1708866731->419057305->1708866361->419057231->419057191->1708866773->1708866872->419055298->1708866971->419055041->1708866967->419055212->1708866337->419055174->419055551->419055538->419055391->419055458->419055813->419055822->419055828->419055827->419055887->1708866794->419055840->1707470227->1216147611->419055474->419055848->1780473056->1780473140->1708866795->1708866765->1708866652->1708866394->419055483->2014228061->1710261809->2014228062->4505590907->419055504->419055511->1710261828->1710261829->1710261821->419055513->419055411->419055417->419055406->419055388->419055806->419055845->419055873->419055889->419055901->1782359359->419055932->1442497749->1779460651->1341022214->1782360087->1345992499->1782360089->1345992468->419055698->419055719->419055803->419056072->419056117->419056162->1247464248]
9, 4198407189, 24.7033965851463, [1247464248->1972430028->1972430031->1972430026->1145509084->3323369499->627337851->3323360183->1972437849->419053920->1145508846->1077755114->419053262->419054704->1145509114->3323334963->419054619->3323334962->419054944->3323325156->3323325155->1145509527->419054792->419054774->3174186299->1145509399->1132082365->419054219->559726157->559726159->1145508836->1145509317->419054333->419054331->3837425275->1145509222->3363186037->3363186035->3363186033->419052483->3363186028->2222983856->3363186017->3363186016->3363186011->1121861571->1121861330->419051968->3512620212->3455114688->419052056->419052216->3455118683->419053011->3455118681->3858229235->1238454298->847640533->419053087->847640611->1612708493->419053060->1238472945->419053152->419053109->1610340487->3253229578->419053207->1145509079->3424725082->419053166->419052767->419052808->3758587328->419052812->4949023663->3758587326->419052783->419052864->1145509220->1145509179->419052920->419051040->1145509182->419050940->3518937464->419050837->3518937459->419050770->3518937452->3518937450->419051769->419051721->419051521->1621258058->419051324->419051234->4370760629->1121861864->1121861344->847640396->2425480792->419048801->1621891527->1077755092->419050264->419050117->847640429->419049996->419049596->847640479->847640458->419048208->419048213->3832873425->419048285->3832873420->3832873418->847563535->419046572->419046675->419046798->419046890->419046956->419046930->419045511->1621858724->1621858269->419045607->419045896->419046200->419044812->419044819->419044640->419044708->419044733->419044989->419045064->1216080351->1621891485->1621891676->1621891461->1145509408->419045191->1621869671->1621869695->1247116104->1145509269->419045399->913845295->1247133121->419044236->1628217924->1628217952->419044306->1628217948->419044144->419044188->1628217942->1145509359->419044533->419044491->419044588->528364382->1143874266->419044346->419044467->419043749->419043607->419043831->419043923->419043234->419043181->419043137->419043120->1244563745->419043521->1244563847->419043391->544782065->419042609->419042991->419043037->419042876->419041971->515778599->515778589->1207025118->1077755130->1207025036->419041864->1121247940->3244945321->419041531->1121248014->1207024998->1145509379->1864629621->1864629617->1864629612->1864629610->1207025129->1207025132->1207025016->1864629583->528273326->419040098->419039894->419039915->419039948->419039954->419039964->419039965->419039953->565575662->1328566569->419039895->419039882->1113113985->1113113969->419040097->1121247786->419040127->419040141->1121248033->419039930->419039863->1121248511->419039845->419039593->419039654->419039628->1115845873->419039629->419039594->870974566->419039808->1123393482->419039759->455923428->455923429->419040316->419040304->871677584->871677592->419040246->419040257->419040637->419040258->419040267->871677580->419040392->419040370->419039896->1124811807->1163633642->1124811768->419039733->419039609->419039859->419039841->1879824358->419039995->1879824365->419039636->419039826->419039642->419039740->419039775->1362379911->419039813->419039844->419039725->4198407189]
